gene_symbol	ncbi_gene	ensembl_gene	db_gene_symbol	db_ncbi_gene	db_ensembl_gene	source_gene	gs_id	gs_name	gs_collection	gs_subcollection	gs_collection_name	gs_description	gs_source_species	gs_pmid	gs_geoid	gs_exact_source	gs_url	db_version	db_target_species	ortholog_taxon_id	ortholog_sources	num_ortholog_sources	Selected_Ensembl_ID
CCN2	281103	ENSBTAG00000006367	CCN2	1490	ENSG00000118523	CTGF	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000006367
CD44	281057	ENSBTAG00000011578	CD44	960	ENSG00000026508	CD44	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|NCBI|OMA|OrthoDB|Panther|Treefam	8	ENSBTAG00000011578
CD59	505574	ENSBTAG00000002302	CD59	966	ENSG00000085063	CD59	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000002302
CDH11	785475	ENSBTAG00000032092	CDH11	1009	ENSG00000140937	CDH11	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000032092
CDH2	281062	ENSBTAG00000021190	CDH2	1000	ENSG00000170558	CDH2	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|Panther|Treefam	8	ENSBTAG00000021190
CDH6	537946	ENSBTAG00000012992	CDH6	1004	ENSG00000113361	CDH6	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000012992
COL11A1	287013	ENSBTAG00000021217	COL11A1	1301	ENSG00000060718	COL11A1	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|NCBI|OMA|Panther	5	ENSBTAG00000021217
COL12A1	359712	ENSBTAG00000020056	COL12A1	1303	ENSG00000111799	COL12A1	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|NCBI|OMA|OrthoDB|Panther|Treefam	8	ENSBTAG00000020056
COL16A1	507010	ENSBTAG00000010050	COL16A1	1307	ENSG00000084636	COL16A1	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|NCBI|OMA|OrthoDB|Panther	6	ENSBTAG00000010050
COL1A1	282187	ENSBTAG00000013103	COL1A1	1277	ENSG00000108821	COL1A1	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB	8	ENSBTAG00000013103
COL1A2	282188	ENSBTAG00000013472	COL1A2	1278	ENSG00000164692	COL1A2	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000013472
COL3A1	510833	ENSBTAG00000021466	COL3A1	1281	ENSG00000168542	COL3A1	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	8	ENSBTAG00000021466
COL4A1	282191	ENSBTAG00000012849	COL4A1	1282	ENSG00000187498	COL4A1	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|NCBI|OMA|Panther|Treefam	7	ENSBTAG00000012849
COL4A2	508632	ENSBTAG00000025210	COL4A2	1284	ENSG00000134871	COL4A2	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|NCBI|OMA|OrthoDB|Panther|Treefam	8	ENSBTAG00000025210
COL5A1	100848491	ENSBTAG00000047998	COL5A1	1289	ENSG00000130635	COL5A1	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|NCBI|OMA|Panther|Treefam	6	ENSBTAG00000047998
COL5A2	538590	ENSBTAG00000027020	COL5A2	1290	ENSG00000204262	COL5A2	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|NCBI|OMA|Panther|Treefam	6	ENSBTAG00000027020
COL5A3	507881	ENSBTAG00000010179	COL5A3	50509	ENSG00000080573	COL5A3	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|NCBI|OMA|Panther	5	ENSBTAG00000010179
COL6A2	282194	ENSBTAG00000019269	COL6A2	1292	ENSG00000142173	COL6A2	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	8	ENSBTAG00000019269
COL6A3	530657	ENSBTAG00000030190	COL6A3	1293	ENSG00000163359	COL6A3	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000030190
COL7A1	507133	ENSBTAG00000019081	COL7A1	1294	ENSG00000114270	COL7A1	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	HomoloGene|Inparanoid|NCBI|OrthoDB	4	ENSBTAG00000019081
COL8A2	539415	ENSBTAG00000010175	COL8A2	1296	ENSG00000171812	COL8A2	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|Panther|Treefam	8	ENSBTAG00000010175
COLGALT1	513167	ENSBTAG00000012678	COLGALT1	79709	ENSG00000130309	GLT25D1	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000012678
COMP	281088	ENSBTAG00000004630	COMP	1311	ENSG00000105664	COMP	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000004630
COPA	100126041	ENSBTAG00000004333	COPA	1314	ENSG00000122218	COPA	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|NCBI|OMA|OrthoDB|Panther	6	ENSBTAG00000004333
CRLF1	511086	ENSBTAG00000007741	CRLF1	9244	ENSG00000006016	CRLF1	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000007741
CTHRC1	538634	ENSBTAG00000032591	CTHRC1	115908	ENSG00000164932	CTHRC1	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000032591
CXCL2	281214	ENSBTAG00000027513	CXCL1	2919	ENSG00000163739	CXCL1	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	OMA|Panther|PhylomeDB|Treefam	4	ENSBTAG00000027513
CXCL12	613811	ENSBTAG00000005077	CXCL12	6387	ENSG00000107562	CXCL12	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|Panther|PhylomeDB|Treefam	8	ENSBTAG00000005077
CXCL5	281735	ENSBTAG00000009812	CXCL6	6372	ENSG00000124875	CXCL6	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	Ensembl|Inparanoid|OrthoDB|Panther|PhylomeDB|Treefam	6	ENSBTAG00000009812
CXCL8	280828	ENSBTAG00000019716	CXCL8	3576	ENSG00000169429	IL8	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	9	ENSBTAG00000019716
DAB2	509221	ENSBTAG00000016152	DAB2	1601	ENSG00000153071	DAB2	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther	7	ENSBTAG00000016152
DCN	280760	ENSBTAG00000003505	DCN	1634	ENSG00000011465	DCN	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB	8	ENSBTAG00000003505
DKK1	504445	ENSBTAG00000014218	DKK1	22943	ENSG00000107984	DKK1	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	HomoloGene|Inparanoid|NCBI|OMA|OrthoDB	5	ENSBTAG00000014218
DPYSL3	509796	ENSBTAG00000010661	DPYSL3	1809	ENSG00000113657	DPYSL3	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther	7	ENSBTAG00000010661
NA	NA	ENSBTAG00000021237	DST	667	ENSG00000151914	DST	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|OMA|Treefam	4	ENSBTAG00000021237
ECM1	524222	ENSBTAG00000003806	ECM1	1893	ENSG00000143369	ECM1	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000003806
ECM2	533916	ENSBTAG00000024081	ECM2	1842	ENSG00000106823	ECM2	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther	7	ENSBTAG00000024081
EDIL3	538062	ENSBTAG00000044033	EDIL3	10085	ENSG00000164176	EDIL3	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000044033
EFEMP2	535222	ENSBTAG00000021457	EFEMP2	30008	ENSG00000172638	EFEMP2	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000021457
ELN	280781	ENSBTAG00000019517	ELN	2006	ENSG00000049540	ELN	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	Ensembl|Inparanoid|NCBI|OMA|Panther|Treefam	6	ENSBTAG00000019517
EMP3	535273	ENSBTAG00000018013	EMP3	2014	ENSG00000142227	EMP3	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000018013
ENO2	526006	ENSBTAG00000011274	ENO2	2026	ENSG00000111674	ENO2	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000011274
FAP	508882	ENSBTAG00000008140	FAP	2191	ENSG00000078098	FAP	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB	8	ENSBTAG00000008140
FAS	282488	ENSBTAG00000010785	FAS	355	ENSG00000026103	FAS	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther	7	ENSBTAG00000010785
FBLN1	514588	ENSBTAG00000012088	FBLN1	2192	ENSG00000077942	FBLN1	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Treefam	8	ENSBTAG00000012088
FBLN2	511854	ENSBTAG00000004014	FBLN2	2199	ENSG00000163520	FBLN2	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|NCBI|OMA|OrthoDB|Treefam	7	ENSBTAG00000004014
FBLN5	535185	ENSBTAG00000018123	FBLN5	10516	ENSG00000140092	FBLN5	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000018123
FBN1	281154	ENSBTAG00000002278	FBN1	2200	ENSG00000166147	FBN1	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000002278
FBN2	540017	ENSBTAG00000015307	FBN2	2201	ENSG00000138829	FBN2	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|NCBI|OMA|OrthoDB|Panther	6	ENSBTAG00000015307
FERMT2	616981	ENSBTAG00000014501	FERMT2	10979	ENSG00000073712	FERMT2	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000014501
FGF2	281161	ENSBTAG00000005691	FGF2	2247	ENSG00000138685	FGF2	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|Panther|Treefam	8	ENSBTAG00000005691
FLNA	281165	ENSBTAG00000011190	FLNA	2316	ENSG00000196924	FLNA	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000011190
FMOD	281168	ENSBTAG00000014912	FMOD	2331	ENSG00000122176	FMOD	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000014912
FN1	280794	ENSBTAG00000008300	FN1	2335	ENSG00000115414	FN1	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	8	ENSBTAG00000008300
FOXC2	507300	ENSBTAG00000012465	FOXC2	2303	ENSG00000176692	FOXC2	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|Panther	6	ENSBTAG00000012465
FSTL1	534482	ENSBTAG00000022155	FSTL1	11167	ENSG00000163430	FSTL1	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000022155
FSTL3	515367	ENSBTAG00000003018	FSTL3	10272	ENSG00000070404	FSTL3	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Treefam	8	ENSBTAG00000003018
FUCA1	509522	ENSBTAG00000030434	FUCA1	2517	ENSG00000179163	FUCA1	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000030434
FZD8	616913	ENSBTAG00000052989	FZD8	8325	ENSG00000177283	FZD8	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	Ensembl|OMA|OrthoDB|Panther	4	ENSBTAG00000052989
GADD45A	505463	ENSBTAG00000013860	GADD45A	1647	ENSG00000116717	GADD45A	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000013860
GADD45B	618405	ENSBTAG00000025462	GADD45B	4616	ENSG00000099860	GADD45B	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000025462
GAS1	540336	ENSBTAG00000046803	GAS1	2619	ENSG00000180447	GAS1	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther	7	ENSBTAG00000046803
GEM	538437	ENSBTAG00000007596	GEM	2669	ENSG00000164949	GEM	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000007596
GJA1	281193	ENSBTAG00000001835	GJA1	2697	ENSG00000152661	GJA1	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000001835
GLIPR1	767905	ENSBTAG00000011590	GLIPR1	11010	ENSG00000139278	GLIPR1	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000011590
GPC1	518114	ENSBTAG00000015996	GPC1	2817	ENSG00000063660	GPC1	M5930	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H		Hallmark	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000015996
